Results
Filename SNR Time(ms) BER% FER%
../gentests/ComparableTest/b5_10_0000_07.mtx 1.7 55.7075 2.76579 32.75 
../gentests/ComparableTest/b5_10_0000_07.mtx 1.8 53.4884 2.49605 28.25 
../gentests/ComparableTest/b5_10_0000_07.mtx 1.9 58.4256 2.07684 26.2 
../gentests/ComparableTest/b5_10_0000_07.mtx 2 55.986 1.57895 21.8 
../gentests/ComparableTest/b5_10_0000_07.mtx 2.1 60.0318 1.27281 17.5 
../gentests/ComparableTest/b5_10_0000_07.mtx 2.2 64.7115 1.13684 15.5714 
../gentests/ComparableTest/b5_10_0000_07.mtx 2.3 67.299 0.875 13.25 
../gentests/ComparableTest/b5_10_0000_07.mtx 2.4 76.5689 0.798421 11.2 
../gentests/ComparableTest/b5_10_0000_07.mtx 2.5 73.3146 0.721579 10.3 
../gentests/ComparableTest/b5_10_0000_07.mtx 2.6 82.3356 0.582895 8.58333 
